Date,Last
2017-01-02,25400
2017-01-03,25500
2017-01-04,25680
2017-01-05,25680
2017-01-06,25700
2017-01-10,25900
2017-01-11,25960
2017-01-12,25860
2017-01-13,25700
2017-01-16,25660
2017-01-17,25600
2017-01-18,25420
2017-01-19,25460
2017-01-20,25460
2017-01-23,25500
2017-01-24,25500
2017-01-25,25560
2017-01-26,25700
2017-01-27,25580
2017-01-30,25500
2017-01-31,25480
2017-02-01,25460
2017-02-02,25500
2017-02-03,25560
2017-02-06,25580
2017-02-07,25320
2017-02-08,25180
2017-02-09,25180
2017-02-10,25200
2017-02-13,25240
2017-02-14,24940
2017-02-15,24860
2017-02-16,25340
2017-02-17,25080
2017-02-20,25020
2017-02-22,25100
2017-02-23,25420
2017-02-24,24980
2017-02-27,25280
2017-02-28,25220
2017-03-01,25280
2017-03-02,25000
2017-03-03,25200
2017-03-06,25300
2017-03-07,25280
2017-03-08,25300
2017-03-09,25160
2017-03-10,25280
2017-03-13,25420
2017-03-14,24800
2017-03-15,24960
2017-03-16,25280
2017-03-17,25380
2017-03-21,25580
2017-03-22,25880
2017-03-23,25920
2017-03-24,25900
2017-03-27,26200
2017-03-28,26300
2017-03-29,26300
2017-03-30,26520
2017-03-31,26260
2017-04-03,26560
2017-04-04,26500
2017-04-05,26320
2017-04-06,26420
2017-04-07,26420
2017-04-10,26800
2017-04-11,26660
2017-04-12,26780
2017-04-17,26600
2017-04-18,26320
2017-04-19,25820
2017-04-20,26000
2017-04-21,26500
2017-04-24,26720
2017-04-25,27000
2017-04-26,26980
2017-04-27,26780
2017-04-28,26500
2017-05-03,27080
2017-05-04,27300
2017-05-05,27340
2017-05-08,27700
2017-05-09,27920
2017-05-10,28520
2017-05-11,28700
2017-05-12,28700
2017-05-15,28900
2017-05-16,29820
2017-05-17,29900
2017-05-18,29420
2017-05-19,29880
2017-05-22,29980
2017-05-23,30040
2017-05-24,30100
2017-05-25,29940
2017-05-26,30040
2017-05-30,29980
2017-05-31,29800
2017-06-01,30460
2017-06-02,30280
2017-06-05,30760
2017-06-06,30880
2017-06-07,30880
2017-06-08,30580
2017-06-09,30540
2017-06-12,30520
2017-06-13,30800
2017-06-28,31000
2017-06-29,31300
2017-06-30,31580
2017-07-04,32080
2017-07-05,32000
2017-07-06,32200
2017-07-07,31700
2017-07-10,31900
2017-07-11,32480
2017-07-12,33000
2017-07-13,32900
2017-07-14,32300
2017-07-17,32220
2017-07-18,31960
2017-07-19,31020
2017-07-21,31160
2017-07-24,31040
2017-07-25,31300
2017-07-26,30920
2017-07-27,31000
2017-07-28,31700
2017-07-31,30800
2017-08-01,30860
2017-08-02,30800
2017-08-03,30900
2017-08-04,30780
2017-08-08,30600
2017-08-09,30340
2017-08-10,30200
2017-08-11,30520
2017-08-14,30720
2017-08-15,29820
2017-08-16,30880
2017-08-17,30700
2017-08-18,31000
2017-08-22,31260
2017-08-23,31780
2017-08-24,31200
2017-08-25,30960
2017-08-28,31000
2017-08-29,31400
2017-08-30,30800
2017-08-31,33000
2017-09-01,33760
2017-09-04,34220
2017-09-05,33780
2017-09-06,34220
2017-09-07,33960
2017-09-08,33760
2017-09-11,34040
2017-09-12,33720
2017-09-13,33860
2017-09-14,33660
2017-09-15,33340
2017-09-18,33160
2017-09-19,33200
2017-09-20,32500
2017-09-21,32660
2017-09-22,33200
2017-09-25,32700
2017-09-26,32600
2017-09-27,32500
2017-09-28,32500
2017-09-29,32660
2017-10-02,32700
2017-10-03,32680
2017-10-04,32500
2017-10-05,32600
2017-10-06,32680
2017-10-09,32000
2017-10-10,32000
2017-10-11,32000
2017-10-12,31980
2017-10-13,32000
2017-10-17,31500
2017-10-18,31280
2017-10-19,31000
2017-10-20,30880
2017-10-23,30860
2017-10-24,30900
2017-10-25,30560
2017-10-26,30900
2017-10-27,28860
2017-10-30,28140
2017-10-31,27900
2017-11-01,28120
2017-11-02,27540
2017-11-03,27300
2017-11-07,27760
2017-11-08,28060
2017-11-09,28580
2017-11-10,28500
2017-11-14,27960
2017-11-15,27880
2017-11-16,28280
2017-11-17,28680
2017-11-20,28820
2017-11-21,29000
2017-11-22,29000
2017-11-23,28780
2017-11-24,28900
2017-11-27,28800
2017-11-28,28820
2017-11-29,29100
2017-11-30,29000
2017-12-01,28700
2017-12-04,28500
2017-12-05,28580
2017-12-06,29000
2017-12-07,29140
2017-12-11,29700
2017-12-12,29440
2017-12-13,29600
2017-12-14,29120
2017-12-15,28800
2017-12-18,29480
2017-12-19,29600
2017-12-20,29420
2017-12-21,29600
2017-12-22,29600
2017-12-26,29600
2017-12-27,29800
2017-12-28,29900
2018-01-02,29940
2018-01-03,29980
2018-01-04,30200
2018-01-05,30800
2018-01-09,30700
2018-01-10,30000
2018-01-11,30000
2018-01-12,30100
2018-01-15,30000
2018-01-16,31260
2018-01-17,31160
2018-01-18,31180
2018-01-19,31000
